ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"188.120.248.106","elite","AS29182","RU","JSC IOT","49","Cjsc the First","7497","socks5","4999","1","2023-05-21T06:05:51.403Z","81","1370","1684"
"193.169.4.184","elite","AS49261","RU","Lekstar Communication Ltd","93","SVS-Telecom Ltd","10801","socks5","4999","2","2023-05-21T06:03:38.015Z","98","1736","1766"
"85.15.65.70","elite","AS34896","RU","Vostoktelecom","197","N/A","1080","socks5","4899","1","2023-05-21T06:02:44.006Z","49","855","1733"
"212.77.138.119","elite","AS33894","RU","RIKT","111","JSC Ritc","1080","socks5","4896","2","2023-05-21T06:02:02.703Z","50","873","1746"
"109.188.79.159","elite","AS25159","RU","MSK SCARTEL network - FixedIP","71","N/A","4145","socks5","4710","1","2023-05-21T06:02:02.511Z","99","1707","1717"
"151.237.173.212","elite","AS29072","RU","Regional Digital Telecommunication Company","92","Regional Digital Telecommunication Company","62311","socks5","4604","1","2023-05-21T06:01:50.016Z","100","1715","1716"
"188.127.224.46","elite","AS56694","RU","LLC Smart Ape","94","N/A","32606","socks5","4898","1","2023-05-21T06:01:21.815Z","87","1507","1731"
"95.79.111.39","elite","AS42682","RU","CJSC \"ER-Telecom Holding\" Nizhny Novgorod branch","54","JSC \"ER-Telecom Holding\" Nizhny Novgorod","1080","socks5","4803","2","2023-05-21T06:00:02.802Z","99","1625","1641"
"194.58.104.111","elite","AS197695","RU","\"Domain names registrar REG.RU\", Ltd","46","Reg.Ru","7497","socks5","4389","1","2023-05-21T05:59:55.801Z","97","1705","1761"
"95.78.119.94","elite","AS42116","RU","CJSC \"ER-Telecom Holding\" Naberezhnye Chelny branch","63","JSC \"ER-Telecom Holding\" Naberezhnye Chelny branch","1080","socks5","4903","2","2023-05-21T05:58:32.303Z","99","1736","1750"
"92.255.172.214","elite","AS41682","RU","CJSC \"ER-Telecom Holding\" Tyumen' branch","81","CJSC \"ER-Telecom Holding\" Tyumen branch","8080","socks5","4002","1","2023-05-21T05:56:43.105Z","99","1644","1654"
"46.159.91.244","elite","AS12389","RU","PAO Rostelecom","77","OJSC Rostelecom Macroregional Branch South","1080","socks5","4700","1","2023-05-21T05:53:58.312Z","37","629","1689"
"109.195.187.178","elite","AS52207","RU","CJSC \"ER-Telecom Holding\" Tula branch","56","JSC \"ER-Telecom Holding\" Tula Branch","9150","socks5","4998","4","2023-05-21T05:53:54.898Z","100","1759","1764"
"92.124.143.26","elite","AS12389","RU","OJSC Sibirtelecom","88","OJSC Sibirtelecom","1080","socks5","2511","1","2023-05-21T05:51:40.514Z","52","870","1662"
"95.182.123.66","elite","AS202984","RU","Chernyshov Aleksandr Aleksandrovich","51","Ildar Gilmutdinov PE","62134","socks5","4796","2","2023-05-21T05:51:15.901Z","95","1557","1639"
"185.162.93.62","elite","AS41722","RU","MIRAN-VS","90","N/A","9050","socks5","5101","1","2023-05-21T05:48:59.606Z","99","1708","1720"
"37.192.118.80","elite","AS31200","RU","Novotelecom Ltd","104","Novotelecom ltd.","1080","socks5","4700","2","2023-05-21T05:47:56.210Z","43","759","1764"
"95.213.154.54","elite","AS49505","RU","OOO \"Network of data-centers \"Selectel\"","86","N/A","31337","socks5","4410","1","2023-05-21T05:46:39.810Z","100","1763","1764"
"37.18.73.60","elite","AS208677","RU","Cloud technology Limited (Ltd.)","54","Cloud technology Limited (Ltd.)","5566","socks5","5293","1","2023-05-21T05:44:25.902Z","91","1610","1766"
"178.44.113.205","elite","AS12389","RU","JSC VolgaTelecom","99","OJSC Volgatelecom in the Kirov region","53281","socks5","4795","2","2023-05-21T05:43:16.602Z","100","1657","1659"
"5.8.64.55","elite","AS44812","RU","IP SERVER LLC","48","Worldbyte","8080","socks5","4907","2","2023-05-21T05:42:41.001Z","93","1546","1655"
"188.92.242.99","elite","AS25227","RU","JSC Avantel","44","Avantel, Close Joint Stock Company","8088","socks5","5087","1","2023-05-21T05:42:01.015Z","99","1700","1709"
"82.200.117.130","elite","AS21127","RU","ZSTTK","88","JSC Zap-SibTranstelecom","1080","socks5","4500","1","2023-05-21T05:39:47.509Z","100","1721","1723"
